691,359,169,143,177,259,41
288,229,108,326,116,189,154,70,80,282,90,419,71,386,34
141,39,39
102,231,116,143,29
86,205,64,58,160,62,454,438,104,58,76,166,63,63
116,174,74,64,72,226,86
494,303,67
171,419,100,51,51
82,82
